id,value
https://google;com/search?q=whereof,
https://google;com/search?q=whereof.en;wiktionary;org,
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org,
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org,
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.el;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.en;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.pl;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.pt;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.wikimediafoundation;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.creativecommons;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.www;mediawiki;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.zh;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.ko;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.ru;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.nl;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.mg;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.fi;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.es;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.io;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.te;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.chr;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.ja;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.fr;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.da;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.ku;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.et;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.cs;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.sv;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.cy;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.et;wiktionary;org.br;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.www;mediawiki;org,
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.www;mediawiki;org.www;mediawiki;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.www;mediawiki;org.wikimediafoundation;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.www;mediawiki;org.wikitech;wikimedia;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.www;mediawiki;org.lists;wikimedia;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.www;mediawiki;org.www;wikidata;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.www;mediawiki;org.blog;wikimedia;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.www;mediawiki;org.creativecommons;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.www;mediawiki;org.phabricator;wikimedia;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.www;mediawiki;org.webchat;freenode;net,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.www;mediawiki;org.www;wikimedia;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.www;mediawiki;org.meta;wikimedia;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.zh;wiktionary;org,
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.zh;wiktionary;org.ko;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.zh;wiktionary;org.et;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.zh;wiktionary;org.cs;wiktionary;org,4
https://google;com/search?q=whereof.en;wiktionary;org.fr;wiktionary;org.zh;wiktionary;org.nl;wiktionary;org,4
