id,value
https://google;com/search?q=Pickett,
https://google;com/search?q=Pickett.www;txdirectory;com,4
https://google;com/search?q=Pickett.www;joepickett;com,
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us,
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;flags;house;state;tx;us,
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;flags;house;state;tx;us.www;house;state;tx;us,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.search;house;state;tx;us,
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.search;house;state;tx;us.groups;google;com,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.search;house;state;tx;us.news;google;com,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.search;house;state;tx;us.www;google;com,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.search;house;state;tx;us.images;google;com,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.search;house;state;tx;us.local;google;com,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;state;tx;us,
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;state;tx;us.www;owasp;org,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;state;tx;us.www;facebook;com,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;state;tx;us.www;iso;org,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;state;tx;us.wit;twc;state;tx;us,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;state;tx;us.www;hhs;gov,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;state;tx;us.www;txdps;state;tx;us,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;state;tx;us.www;ftc;gov,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;state;tx;us.www;instagram;com,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;state;tx;us.youtu;be,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;state;tx;us.dirpub;dir;texas;gov,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;state;tx;us.m;flickr;com,4
https://google;com/search?q=Pickett.www;joepickett;com.www;house;state;tx;us.www;state;tx;us.www;capitol;state;tx;us,4
